type,title,displaytitle,wikibase_item,pageid,lang,dir,revision,tid,timestamp,description,description_source,extract,extract_html,namespace.id,namespace.text,titles.canonical,titles.normalized,titles.display,thumbnail.source,thumbnail.width,thumbnail.height,originalimage.source,originalimage.width,originalimage.height,content_urls.desktop.page,content_urls.desktop.revisions,content_urls.desktop.edit,content_urls.desktop.talk,content_urls.mobile.page,content_urls.mobile.revisions,content_urls.mobile.edit,content_urls.mobile.talk
standard,Cimabue,Cimabue,Q15790,6991,en,ltr,1012921077,6de817c0-b2af-11eb-8745-2d143793bf71,2021-03-19T01:46:51Z,Italian artist (1240–1302),local,"Cimabue, also known as Cenni di Pepo or Cenni di Pepi, was an Italian painter and designer of mosaics from Florence.","<p><b>Cimabue</b>, also known as <b>Cenni di Pepo</b> or <b>Cenni di Pepi</b>, was an Italian painter and designer of mosaics from Florence.</p>",0,,Cimabue,Cimabue,Cimabue,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Cimabue_-_Maest%C3%A0_di_Santa_Trinita_-_Google_Art_Project.jpg/178px-Cimabue_-_Maest%C3%A0_di_Santa_Trinita_-_Google_Art_Project.jpg,178.0,320.0,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cimabue_-_Maest%C3%A0_di_Santa_Trinita_-_Google_Art_Project.jpg,2008.0,3596.0,https://en.wikipedia.org/wiki/Cimabue,https://en.wikipedia.org/wiki/Cimabue?action=history,https://en.wikipedia.org/wiki/Cimabue?action=edit,https://en.wikipedia.org/wiki/Talk:Cimabue,https://en.m.wikipedia.org/wiki/Cimabue,https://en.m.wikipedia.org/wiki/Special:History/Cimabue,https://en.m.wikipedia.org/wiki/Cimabue?action=edit,https://en.m.wikipedia.org/wiki/Talk:Cimabue
standard,Arnolfo di Cambio,Arnolfo di Cambio,Q315249,313104,en,ltr,1010757256,e55e1d80-b26a-11eb-98ab-3dfb23120e7b,2021-03-07T04:12:36Z,13th century Italian architect and sculptor,local,"Arnolfo di Cambio was an Italian architect and sculptor. He designed Florence Cathedral and the sixth city wall around Florence (1284-1333), while his most important surviving work as a sculptor is the tomb of Cardinal de Braye in S. Domenico, Orvieto.","<p><b>Arnolfo di Cambio</b> was an Italian architect and sculptor. He designed Florence Cathedral and the sixth city wall around Florence (1284-1333), while his most important surviving work as a sculptor is the tomb of Cardinal de Braye in S. Domenico, Orvieto.</p>",0,,Arnolfo_di_Cambio,Arnolfo di Cambio,Arnolfo di Cambio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814597572560%29.jpg/271px-Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814597572560%29.jpg,271.0,320.0,https://upload.wikimedia.org/wikipedia/commons/3/35/Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814597572560%29.jpg,1722.0,2032.0,https://en.wikipedia.org/wiki/Arnolfo_di_Cambio,https://en.wikipedia.org/wiki/Arnolfo_di_Cambio?action=history,https://en.wikipedia.org/wiki/Arnolfo_di_Cambio?action=edit,https://en.wikipedia.org/wiki/Talk:Arnolfo_di_Cambio,https://en.m.wikipedia.org/wiki/Arnolfo_di_Cambio,https://en.m.wikipedia.org/wiki/Special:History/Arnolfo_di_Cambio,https://en.m.wikipedia.org/wiki/Arnolfo_di_Cambio?action=edit,https://en.m.wikipedia.org/wiki/Talk:Arnolfo_di_Cambio
standard,Bonanno Pisano,Bonanno Pisano,Q892084,3874775,en,ltr,992649159,523a4f40-873d-11eb-a48f-bf32762d93f0,2020-12-06T11:28:38Z,,,"Bonanno Pisano (Pisa), active in the 1170s and 1180s, was an Italian sculptor, mixing Byzantine and classical elements. Giorgio Vasari attributed the realization of the Leaning Tower of Pisa to him in his Vite. Pisano was born in Pisa and worked there most of his life. In the 1180s, he departed for Monreale, in Sicily, where he completed the doors to the cathedral before returning to Pisa, where he died. Pisano was buried at the foot of the leaning tower, where his sarcophagus was discovered in 1820.","<p><b>Bonanno Pisano</b> (Pisa), active in the 1170s and 1180s, was an Italian sculptor, mixing Byzantine and classical elements. Giorgio Vasari attributed the realization of the Leaning Tower of Pisa to him in his <i>Vite</i>. Pisano was born in Pisa and worked there most of his life. In the 1180s, he departed for Monreale, in Sicily, where he completed the doors to the cathedral before returning to Pisa, where he died. Pisano was buried at the foot of the leaning tower, where his sarcophagus was discovered in 1820.</p>",0,,Bonanno_Pisano,Bonanno Pisano,Bonanno Pisano,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Brogi%2C_Carlo_%281850-1925%29_-_n._20504_-_Pisa_-_Cattedrale_-_Formella_della_porta_laterale_-_Bonanno_da_Pisa.jpg/248px-Brogi%2C_Carlo_%281850-1925%29_-_n._20504_-_Pisa_-_Cattedrale_-_Formella_della_porta_laterale_-_Bonanno_da_Pisa.jpg,248.0,320.0,https://upload.wikimedia.org/wikipedia/commons/5/53/Brogi%2C_Carlo_%281850-1925%29_-_n._20504_-_Pisa_-_Cattedrale_-_Formella_della_porta_laterale_-_Bonanno_da_Pisa.jpg,602.0,777.0,https://en.wikipedia.org/wiki/Bonanno_Pisano,https://en.wikipedia.org/wiki/Bonanno_Pisano?action=history,https://en.wikipedia.org/wiki/Bonanno_Pisano?action=edit,https://en.wikipedia.org/wiki/Talk:Bonanno_Pisano,https://en.m.wikipedia.org/wiki/Bonanno_Pisano,https://en.m.wikipedia.org/wiki/Special:History/Bonanno_Pisano,https://en.m.wikipedia.org/wiki/Bonanno_Pisano?action=edit,https://en.m.wikipedia.org/wiki/Talk:Bonanno_Pisano
standard,Nicola Pisano,Nicola Pisano,Q364413,237467,en,ltr,1002709562,b7eb0180-b2c7-11eb-a97b-31ed83be1e4a,2021-01-25T18:47:01Z,,,Nicola Pisano was an Italian sculptor whose work is noted for its classical Roman sculptural style. Pisano is sometimes considered to be the founder of modern sculpture.,<p><b>Nicola Pisano</b> was an Italian sculptor whose work is noted for its classical Roman sculptural style. Pisano is sometimes considered to be the founder of modern sculpture.</p>,0,,Nicola_Pisano,Nicola Pisano,Nicola Pisano,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nicola_Pisano%2C_by_Pio_Fedi.jpg/240px-Nicola_Pisano%2C_by_Pio_Fedi.jpg,240.0,320.0,https://upload.wikimedia.org/wikipedia/commons/f/f0/Nicola_Pisano%2C_by_Pio_Fedi.jpg,960.0,1280.0,https://en.wikipedia.org/wiki/Nicola_Pisano,https://en.wikipedia.org/wiki/Nicola_Pisano?action=history,https://en.wikipedia.org/wiki/Nicola_Pisano?action=edit,https://en.wikipedia.org/wiki/Talk:Nicola_Pisano,https://en.m.wikipedia.org/wiki/Nicola_Pisano,https://en.m.wikipedia.org/wiki/Special:History/Nicola_Pisano,https://en.m.wikipedia.org/wiki/Nicola_Pisano?action=edit,https://en.m.wikipedia.org/wiki/Talk:Nicola_Pisano
standard,Giovanni Pisano,Giovanni Pisano,Q314932,237501,en,ltr,996555572,57f808c0-b1fc-11eb-959f-3feb71a4997d,2020-12-27T08:48:46Z,,,"Giovanni Pisano was an Italian sculptor, painter and architect, who worked in the cities of Pisa, Siena and Pistoia. He is best known for his sculpture which shows the influence of both the French Gothic and the Ancient Roman art. Henry Moore, referring to his statues for the facade of Siena Cathedral, called him ""the first modern sculptor"".","<p><b>Giovanni Pisano</b> was an Italian sculptor, painter and architect, who worked in the cities of Pisa, Siena and Pistoia. He is best known for his sculpture which shows the influence of both the French Gothic and the Ancient Roman art. Henry Moore, referring to his statues for the facade of Siena Cathedral, called him ""the first modern sculptor"".</p>",0,,Giovanni_Pisano,Giovanni Pisano,Giovanni Pisano,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Siena_z14.JPG/320px-Siena_z14.JPG,320.0,240.0,https://upload.wikimedia.org/wikipedia/commons/7/70/Siena_z14.JPG,1024.0,768.0,https://en.wikipedia.org/wiki/Giovanni_Pisano,https://en.wikipedia.org/wiki/Giovanni_Pisano?action=history,https://en.wikipedia.org/wiki/Giovanni_Pisano?action=edit,https://en.wikipedia.org/wiki/Talk:Giovanni_Pisano,https://en.m.wikipedia.org/wiki/Giovanni_Pisano,https://en.m.wikipedia.org/wiki/Special:History/Giovanni_Pisano,https://en.m.wikipedia.org/wiki/Giovanni_Pisano?action=edit,https://en.m.wikipedia.org/wiki/Talk:Giovanni_Pisano
standard,Andrea Tafi (artist),Andrea Tafi (artist),Q495164,330667,en,ltr,996364950,9cf3fa90-81de-11eb-a700-e5e498116bf9,2020-12-26T04:08:04Z,Artist from Italy,local,"Andrea Tafi (1213–1294) was an Italian artist. He is probably best known for his work on the mosaics of the Baptistery in Florence, which were started in 1225 by Jacobus. His pupils included Buonamico Buffalmacco.","<p><b>Andrea Tafi</b> (1213–1294) was an Italian artist. He is probably best known for his work on the mosaics of the Baptistery in Florence, which were started in 1225 by Jacobus. His pupils included Buonamico Buffalmacco.</p>",0,,Andrea_Tafi_(artist),Andrea Tafi (artist),Andrea Tafi (artist),https://upload.wikimedia.org/wikipedia/commons/f/f6/004_le_vite%2C_andrea_tafi.jpg,271.0,300.0,https://upload.wikimedia.org/wikipedia/commons/f/f6/004_le_vite%2C_andrea_tafi.jpg,271.0,300.0,https://en.wikipedia.org/wiki/Andrea_Tafi_(artist),https://en.wikipedia.org/wiki/Andrea_Tafi_(artist)?action=history,https://en.wikipedia.org/wiki/Andrea_Tafi_(artist)?action=edit,https://en.wikipedia.org/wiki/Talk:Andrea_Tafi_(artist),https://en.m.wikipedia.org/wiki/Andrea_Tafi_(artist),https://en.m.wikipedia.org/wiki/Special:History/Andrea_Tafi_(artist),https://en.m.wikipedia.org/wiki/Andrea_Tafi_(artist)?action=edit,https://en.m.wikipedia.org/wiki/Talk:Andrea_Tafi_(artist)
standard,Gaddo Gaddi,Gaddo Gaddi,Q729041,10446923,en,ltr,996363848,a5e43500-70b5-11eb-9170-af657c3cc252,2020-12-26T04:00:37Z,,,"Gaddo Gaddi was a painter and mosaicist of Florence in a gothic art style. Almost no works survive. He was the father of Taddeo Gaddi. He completed mosaics on facade of Santa Maria Maggiore in Rome. The ""Coronation of the Virgin"" mosaic over the inside door of Florence Cathedral, dated 1307, is also attributed to Gaddo Gaddi.","<p><b>Gaddo Gaddi</b> was a painter and mosaicist of Florence in a gothic art style. Almost no works survive. He was the father of Taddeo Gaddi. He completed mosaics on facade of Santa Maria Maggiore in Rome. The ""Coronation of the Virgin"" mosaic over the inside door of Florence Cathedral, dated 1307, is also attributed to Gaddo Gaddi.</p>",0,,Gaddo_Gaddi,Gaddo Gaddi,Gaddo Gaddi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814781927394%29.jpg/289px-Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814781927394%29.jpg,289.0,320.0,https://upload.wikimedia.org/wikipedia/commons/b/b9/Vite_de_pi%C3%B9_eccellenti_pittori_scultori_ed_architetti_%281767%29_%2814781927394%29.jpg,1778.0,1970.0,https://en.wikipedia.org/wiki/Gaddo_Gaddi,https://en.wikipedia.org/wiki/Gaddo_Gaddi?action=history,https://en.wikipedia.org/wiki/Gaddo_Gaddi?action=edit,https://en.wikipedia.org/wiki/Talk:Gaddo_Gaddi,https://en.m.wikipedia.org/wiki/Gaddo_Gaddi,https://en.m.wikipedia.org/wiki/Special:History/Gaddo_Gaddi,https://en.m.wikipedia.org/wiki/Gaddo_Gaddi?action=edit,https://en.m.wikipedia.org/wiki/Talk:Gaddo_Gaddi
standard,Margaritone d'Arezzo,Margaritone d'Arezzo,Q2518566,7391492,en,ltr,1020684170,aebabe50-a9b9-11eb-b3ab-69a71d85c25c,2021-04-30T13:40:46Z,,,"Margarito, Margaritone da Arezzo, or Margaritone d'Arezzo was an Italian painter from Arezzo in Tuscany. Margaritone's given name was Margarito, but it was transcribed erroneously by Vasari as ""Margaritone"". It is by this latter form that he is still often known today.","<p><b>Margarito</b>, Margaritone da Arezzo, or <b>Margaritone d'Arezzo</b> was an Italian painter from Arezzo in Tuscany. Margaritone's given name was Margarito, but it was transcribed erroneously by Vasari as ""Margaritone"". It is by this latter form that he is still often known today.</p>",0,,Margaritone_d'Arezzo,Margaritone d'Arezzo,Margaritone d'Arezzo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Margaritone_d%27arezzo%2C_madonna_col_bambino_in_trono_e_scene_religiose%2C_1263-64_ca._01.jpg/320px-Margaritone_d%27arezzo%2C_madonna_col_bambino_in_trono_e_scene_religiose%2C_1263-64_ca._01.jpg,320.0,164.0,https://upload.wikimedia.org/wikipedia/commons/3/3f/Margaritone_d%27arezzo%2C_madonna_col_bambino_in_trono_e_scene_religiose%2C_1263-64_ca._01.jpg,5094.0,2616.0,https://en.wikipedia.org/wiki/Margaritone_d'Arezzo,https://en.wikipedia.org/wiki/Margaritone_d'Arezzo?action=history,https://en.wikipedia.org/wiki/Margaritone_d'Arezzo?action=edit,https://en.wikipedia.org/wiki/Talk:Margaritone_d'Arezzo,https://en.m.wikipedia.org/wiki/Margaritone_d'Arezzo,https://en.m.wikipedia.org/wiki/Special:History/Margaritone_d'Arezzo,https://en.m.wikipedia.org/wiki/Margaritone_d'Arezzo?action=edit,https://en.m.wikipedia.org/wiki/Talk:Margaritone_d'Arezzo
standard,Giotto,Giotto,Q7814,27729289,en,ltr,1011629532,58740f00-b1da-11eb-a8ba-d1634f3d33b7,2021-03-11T23:32:13Z,Italian painter and architect,local,"Giotto di Bondone, known mononymously as Giotto and Latinised as Giottus, was an Italian painter and architect from Florence during the Late Middle Ages. He worked during the Gothic/Proto-Renaissance period.
Giotto's contemporary, the banker and chronicler Giovanni Villani, wrote that Giotto was ""the most sovereign master of painting in his time, who drew all his figures and their postures according to nature"" and of his publicly recognized ""talent and excellence"".
Giorgio Vasari described Giotto as making a decisive break with the prevalent Byzantine style and as initiating ""the great art of painting as we know it today, introducing the technique of drawing accurately from life, which had been neglected for more than two hundred years"".","<p><b>Giotto di Bondone</b>, known mononymously as <b>Giotto</b> and Latinised as <b>Giottus</b>, was an Italian painter and architect from Florence during the Late Middle Ages. He worked during the Gothic/Proto-Renaissance period.
Giotto's contemporary, the banker and chronicler Giovanni Villani, wrote that Giotto was ""the most sovereign master of painting in his time, who drew all his figures and their postures according to nature"" and of his publicly recognized ""talent and excellence"".
Giorgio Vasari described Giotto as making a decisive break with the prevalent Byzantine style and as initiating ""the great art of painting as we know it today, introducing the technique of drawing accurately from life, which had been neglected for more than two hundred years"".</p>",0,,Giotto,Giotto,Giotto,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG/250px-Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG,250.0,320.0,https://upload.wikimedia.org/wikipedia/commons/4/43/Giotto_-_Tableau_repr%C3%A9sentant_cinq_ma%C3%AEtres_de_la_Renaissance_florentine_%28d%C3%A9but_XVIe_si%C3%A8cle_%3F%29.JPG,2653.0,3391.0,https://en.wikipedia.org/wiki/Giotto,https://en.wikipedia.org/wiki/Giotto?action=history,https://en.wikipedia.org/wiki/Giotto?action=edit,https://en.wikipedia.org/wiki/Talk:Giotto,https://en.m.wikipedia.org/wiki/Giotto,https://en.m.wikipedia.org/wiki/Special:History/Giotto,https://en.m.wikipedia.org/wiki/Giotto?action=edit,https://en.m.wikipedia.org/wiki/Talk:Giotto
standard,Puccio Capanna,Puccio Capanna,Q1383075,6280391,en,ltr,997851284,7405e640-a310-11eb-9889-7156bff094ea,2021-01-02T15:16:09Z,,,"Puccio Capanna was an Italian painter of the first half of the 14th century, who lived and worked in Assisi, Umbria, Italy between 1341 and 1347. He is also called Puccio Campana.","<p><b>Puccio Capanna</b> was an Italian painter of the first half of the 14th century, who lived and worked in Assisi, Umbria, Italy between 1341 and 1347. He is also called <i>Puccio Campana</i>.</p>",0,,Puccio_Capanna,Puccio Capanna,Puccio Capanna,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Puccio_capanna%2C_storie_di_san_stanislao%2C_1330_circa%2C_basilica_inferiore_di_assisi.jpg/217px-Puccio_capanna%2C_storie_di_san_stanislao%2C_1330_circa%2C_basilica_inferiore_di_assisi.jpg,217.0,320.0,https://upload.wikimedia.org/wikipedia/commons/5/58/Puccio_capanna%2C_storie_di_san_stanislao%2C_1330_circa%2C_basilica_inferiore_di_assisi.jpg,750.0,1106.0,https://en.wikipedia.org/wiki/Puccio_Capanna,https://en.wikipedia.org/wiki/Puccio_Capanna?action=history,https://en.wikipedia.org/wiki/Puccio_Capanna?action=edit,https://en.wikipedia.org/wiki/Talk:Puccio_Capanna,https://en.m.wikipedia.org/wiki/Puccio_Capanna,https://en.m.wikipedia.org/wiki/Special:History/Puccio_Capanna,https://en.m.wikipedia.org/wiki/Puccio_Capanna?action=edit,https://en.m.wikipedia.org/wiki/Talk:Puccio_Capanna
