,index,Name,birth,death,timeline_position,timeline_position_extended,Summary,cloudinary thumbnails,cloudinary artworks
5,5,Andrea Tafi,1213,1294,1254,1249.0,"Andrea Tafi (1213–1294) was an Italian artist. He is probably best known for his work on the mosaics of the Baptistery in Florence, which were started in 1225 by Jacobus. His pupils included Buonamico Buffalmacco.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_005_o3ega9.png,
3,3,Nicola Pisano,1225,1284,1254,1254.0,Nicola Pisano was an Italian sculptor whose work is noted for its classical Roman sculptural style. Pisano is sometimes considered to be the founder of modern sculpture.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_003_hqp3gt.png,
1,1,Arnolfo di Lapo,1240,1302,1271,1266.0,"Arnolfo di Cambio was an Italian architect and sculptor. He designed Florence Cathedral and the sixth city wall around Florence (1284-1333), while his most important surviving work as a sculptor is the tomb of Cardinal de Braye in S. Domenico, Orvieto.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_001_pcq6y1.png,
7,7,Margaritone,1245,1290,1268,1268.0,"Margarito, Margaritone da Arezzo, or Margaritone d'Arezzo was an Italian painter from Arezzo in Tuscany. Margaritone's given name was Margarito, but it was transcribed erroneously by Vasari as ""Margaritone"". It is by this latter form that he is still often known today.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_007_nxswzr.png,
0,0,Cimabue,1240,1302,1271,1271.0,"Cimabue, also known as Cenni di Pepo or Cenni di Pepi, was an Italian painter and designer of mosaics from Florence.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_000_qdvxl2.png,
6,6,Gaddo Gaddi,1240,1312,1276,1276.0,"Gaddo Gaddi was a painter and mosaicist of Florence in a gothic art style. Almost no works survive. He was the father of Taddeo Gaddi. He completed mosaics on facade of Santa Maria Maggiore in Rome. The ""Coronation of the Virgin"" mosaic over the inside door of Florence Cathedral, dated 1307, is also attributed to Gaddo Gaddi.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_006_d7i5yi.png,
4,4,Giovanni Pisano,1248,1316,1282,1282.0,"Giovanni Pisano was an Italian sculptor, painter and architect, who worked in the cities of Pisa, Siena and Pistoia. He is best known for his sculpture which shows the influence of both the French Gothic and the Ancient Roman art. Henry Moore, referring to his statues for the facade of Siena Cathedral, called him ""the first modern sculptor"".",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_004_phlwn7.png,"['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/4_1_lnqpbc.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/4_3_ep59yl.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/4_2_sx4sol.png', 'https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/4_0_s3iitv.png']"
18,18,Pietro Cavallini,1240,1330,1285,1285.0,Pietro Cavallini was an Italian painter and mosaic designer working during the late Middle Ages.,https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_018_powax3.png,
28,28,Duccio,1255,1319,1287,1287.0,"Duccio di Buoninsegna was an Italian painter active in Siena, Tuscany, in the late 13th and early 14th century. He was hired throughout his life to complete many important works in government and religious buildings around Italy. Duccio is considered one of the greatest Italian painters of the Middle Ages, and is credited with creating the painting styles of Trecento and the Sienese school. He also contributed significantly to the Sienese Gothic style.",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_028_fsmkss.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/28_0_bmwmym.png']
8,8,Giotto,1272,1337,1304,1304.0,"Giotto di Bondone, known mononymously as Giotto and Latinised as Giottus, was an Italian painter and architect from Florence during the Late Middle Ages. He worked during the Gothic/Proto-Renaissance period.
Giotto's contemporary, the banker and chronicler Giovanni Villani, wrote that Giotto was ""the most sovereign master of painting in his time, who drew all his figures and their postures according to nature"" and of his publicly recognized ""talent and excellence"".
Giorgio Vasari described Giotto as making a decisive break with the prevalent Byzantine style and as initiating ""the great art of painting as we know it today, introducing the technique of drawing accurately from life, which had been neglected for more than two hundred years"".",https://res.cloudinary.com/dfyzsulq8/image/upload/v1621498950/thumbnails/thumbnail_008_sajsva.png,['https://res.cloudinary.com/dfyzsulq8/image/upload/v1621499134/artworks/8_0_jdvgjz.png']
